CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
CHLD 0 296.359375 1587455265.4195
CHLD 1 295.425781 1587455265.4195
CHLD 2 662.289062 1587455265.4196
MEM 1374.609375 1587455265.5353
CHLD 0 290.171875 1587455265.5451
CHLD 1 274.027344 1587455265.5452
CHLD 2 678.789062 1587455265.5452
MEM 1383.894531 1587455265.6620
CHLD 0 264.394531 1587455265.6800
CHLD 1 296.457031 1587455265.6801
CHLD 2 678.789062 1587455265.6801
MEM 1383.894531 1587455265.7944
CHLD 0 264.394531 1587455265.8141
CHLD 1 296.457031 1587455265.8142
CHLD 2 678.789062 1587455265.8142
MEM 1212.632812 1587455265.9285
CHLD 0 264.394531 1587455265.9480
CHLD 1 264.492188 1587455265.9481
CHLD 2 539.492188 1587455265.9481
MEM 1212.886719 1587455266.0609
CHLD 0 264.394531 1587455266.0762
CHLD 1 264.492188 1587455266.0762
CHLD 2 539.746094 1587455266.0762
MEM 1213.144531 1587455266.1844
CHLD 0 264.394531 1587455266.1946
CHLD 1 264.492188 1587455266.1946
CHLD 2 540.003906 1587455266.1946
MEM 1213.402344 1587455266.3033
CHLD 0 264.394531 1587455266.3174
CHLD 1 264.492188 1587455266.3174
CHLD 2 540.261719 1587455266.3175
MEM 1213.660156 1587455266.4281
CHLD 0 264.394531 1587455266.4427
CHLD 1 264.492188 1587455266.4427
CHLD 2 540.519531 1587455266.4428
MEM 1214.175781 1587455266.5538
CHLD 0 264.394531 1587455266.5698
CHLD 1 264.492188 1587455266.5699
CHLD 2 541.035156 1587455266.5699
MEM 1214.433594 1587455266.6864
CHLD 0 264.394531 1587455266.7006
CHLD 1 264.492188 1587455266.7006
CHLD 2 541.292969 1587455266.7007
MEM 1214.949219 1587455266.8150
CHLD 0 264.394531 1587455266.8232
CHLD 1 264.492188 1587455266.8232
CHLD 2 541.808594 1587455266.8236
MEM 1215.207031 1587455266.9328
CHLD 0 264.394531 1587455266.9470
CHLD 1 264.492188 1587455266.9471
CHLD 2 542.066406 1587455266.9471
MEM 1215.722656 1587455267.0605
CHLD 0 264.394531 1587455267.0719
CHLD 1 264.492188 1587455267.0720
CHLD 2 542.582031 1587455267.0720
MEM 1215.980469 1587455267.1867
CHLD 0 264.394531 1587455267.1974
CHLD 1 264.492188 1587455267.1974
CHLD 2 542.839844 1587455267.1975
MEM 1216.496094 1587455267.3058
CHLD 0 264.394531 1587455267.3211
CHLD 1 264.492188 1587455267.3211
CHLD 2 543.355469 1587455267.3212
MEM 1216.753906 1587455267.4321
CHLD 0 264.394531 1587455267.4465
CHLD 1 264.492188 1587455267.4466
CHLD 2 543.871094 1587455267.4466
MEM 1217.269531 1587455267.5623
CHLD 0 264.394531 1587455267.5745
CHLD 1 264.492188 1587455267.5745
CHLD 2 544.128906 1587455267.5747
MEM 1217.785156 1587455267.6939
CHLD 0 264.394531 1587455267.7064
CHLD 1 264.492188 1587455267.7065
CHLD 2 544.644531 1587455267.7065
MEM 1218.042969 1587455267.8209
CHLD 0 264.394531 1587455267.8315
CHLD 1 264.492188 1587455267.8315
CHLD 2 544.902344 1587455267.8315
MEM 1218.558594 1587455267.9424
CHLD 0 264.394531 1587455267.9546
CHLD 1 264.492188 1587455267.9547
CHLD 2 545.417969 1587455267.9547
MEM 1218.816406 1587455268.0751
CHLD 0 198.781250 1587455268.0869
CHLD 1 264.492188 1587455268.0869
CHLD 2 545.675781 1587455268.0869
MEM 1175.480469 1587455268.2012
CHLD 0 220.542969 1587455268.2099
CHLD 1 264.492188 1587455268.2100
CHLD 2 546.191406 1587455268.2100
MEM 955.199219 1587455268.3194
CHLD 0 264.492188 1587455268.3279
CHLD 1 546.449219 1587455268.3279
MEM 911.683594 1587455268.4368
CHLD 0 220.460938 1587455268.4463
CHLD 1 546.964844 1587455268.4463
MEM 911.941406 1587455268.5554
CHLD 0 220.546875 1587455268.5649
CHLD 1 547.222656 1587455268.5650
MEM 913.054688 1587455268.6754
CHLD 0 221.058594 1587455268.7004
CHLD 1 547.738281 1587455268.7004
MEM 913.054688 1587455268.8098
CHLD 0 221.058594 1587455268.8338
CHLD 1 547.996094 1587455268.8338
MEM 913.312500 1587455268.9429
CHLD 0 221.058594 1587455268.9793
CHLD 1 547.996094 1587455268.9793
MEM 913.742188 1587455269.0861
CHLD 0 221.230469 1587455269.0925
CHLD 1 548.253906 1587455269.0926
MEM 913.742188 1587455269.2056
CHLD 0 221.230469 1587455269.2265
CHLD 1 548.511719 1587455269.2266
MEM 914.000000 1587455269.3393
CHLD 0 221.230469 1587455269.3632
CHLD 1 548.511719 1587455269.3633
MEM 914.000000 1587455269.4725
CHLD 0 221.230469 1587455269.4919
CHLD 1 548.769531 1587455269.4920
MEM 964.546875 1587455269.6013
CHLD 0 280.800781 1587455269.6102
CHLD 1 549.027344 1587455269.6102
MEM 972.667969 1587455269.7195
CHLD 0 280.929688 1587455269.7287
CHLD 1 549.285156 1587455269.7287
MEM 960.808594 1587455269.8373
CHLD 0 280.929688 1587455269.8484
CHLD 1 549.542969 1587455269.8485
MEM 975.246094 1587455269.9593
CHLD 0 280.929688 1587455269.9677
CHLD 1 550.058594 1587455269.9678
MEM 943.539062 1587455270.0770
CHLD 0 248.964844 1587455270.0851
CHLD 1 550.316406 1587455270.0852
MEM 944.054688 1587455270.1941
CHLD 0 248.964844 1587455270.2017
CHLD 1 550.832031 1587455270.2017
MEM 944.570312 1587455270.3111
CHLD 0 248.964844 1587455270.3188
CHLD 1 551.347656 1587455270.3189
MEM 944.828125 1587455270.4272
CHLD 0 248.964844 1587455270.4373
CHLD 1 551.605469 1587455270.4373
MEM 945.343750 1587455270.5470
CHLD 0 248.964844 1587455270.5551
CHLD 1 552.121094 1587455270.5551
MEM 945.601562 1587455270.6634
CHLD 0 248.964844 1587455270.6712
CHLD 1 552.378906 1587455270.6713
MEM 946.117188 1587455270.7799
CHLD 0 248.964844 1587455270.7895
CHLD 1 552.894531 1587455270.7895
MEM 946.375000 1587455270.8989
CHLD 0 248.964844 1587455270.9067
CHLD 1 553.410156 1587455270.9067
