CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 145.015625 1587455483.9144
MEM 145.015625 1587455484.0488
MEM 145.015625 1587455484.1834
MEM 145.015625 1587455484.3200
MEM 145.015625 1587455484.4603
MEM 145.015625 1587455484.5946
MEM 145.015625 1587455484.7281
MEM 145.015625 1587455484.8647
MEM 145.015625 1587455485.0029
MEM 145.015625 1587455485.1296
MEM 145.015625 1587455485.2528
MEM 145.015625 1587455485.3821
MEM 145.015625 1587455485.5152
MEM 145.015625 1587455485.6480
MEM 145.015625 1587455485.7848
MEM 145.015625 1587455485.9214
MEM 145.015625 1587455486.0650
MEM 145.015625 1587455486.1950
MEM 145.015625 1587455486.3135
MEM 145.015625 1587455486.4413
MEM 145.015625 1587455486.5777
MEM 145.015625 1587455486.7117
MEM 145.015625 1587455486.8465
MEM 145.015625 1587455486.9829
MEM 145.015625 1587455487.1200
MEM 145.015625 1587455487.2558
MEM 145.015625 1587455487.3917
