CMDLINE /home/sarvesh/Downloads/HappyMongo/voiceenv/bin/python3 server.py
MEM 143.925781 1587454981.9451
CHLD 0 283.042969 1587454981.9641
CHLD 1 266.957031 1587454981.9641
CHLD 2 679.058594 1587454981.9642
MEM 143.925781 1587454982.0648
CHLD 0 296.449219 1587454982.0836
CHLD 1 296.605469 1587454982.0837
CHLD 2 679.058594 1587454982.0837
MEM 143.925781 1587454982.1841
CHLD 0 264.484375 1587454982.1922
CHLD 1 264.640625 1587454982.1922
CHLD 2 539.761719 1587454982.1923
MEM 143.925781 1587454982.2926
CHLD 0 264.484375 1587454982.3019
CHLD 1 264.640625 1587454982.3020
CHLD 2 540.015625 1587454982.3020
MEM 143.925781 1587454982.4027
CHLD 0 264.484375 1587454982.4126
CHLD 1 264.640625 1587454982.4126
CHLD 2 540.273438 1587454982.4126
MEM 143.925781 1587454982.5130
CHLD 0 264.484375 1587454982.5209
CHLD 1 264.640625 1587454982.5209
CHLD 2 540.531250 1587454982.5247
MEM 143.925781 1587454982.6250
CHLD 0 264.484375 1587454982.6382
CHLD 1 264.640625 1587454982.6382
CHLD 2 540.789062 1587454982.6382
MEM 143.925781 1587454982.7387
CHLD 0 264.484375 1587454982.7528
CHLD 1 264.640625 1587454982.7528
CHLD 2 541.046875 1587454982.7528
MEM 143.925781 1587454982.8532
CHLD 0 264.484375 1587454982.8668
CHLD 1 264.640625 1587454982.8668
CHLD 2 541.304688 1587454982.8668
MEM 143.925781 1587454982.9673
CHLD 0 264.484375 1587454982.9795
CHLD 1 264.640625 1587454982.9796
CHLD 2 541.562500 1587454982.9796
MEM 143.925781 1587454983.0814
CHLD 0 264.484375 1587454983.0897
CHLD 1 264.640625 1587454983.0897
CHLD 2 541.820312 1587454983.0897
MEM 143.925781 1587454983.1901
CHLD 0 264.484375 1587454983.2003
CHLD 1 264.640625 1587454983.2003
CHLD 2 542.078125 1587454983.2004
MEM 143.925781 1587454983.3008
CHLD 0 264.484375 1587454983.3090
CHLD 1 264.640625 1587454983.3090
CHLD 2 542.335938 1587454983.3090
MEM 143.925781 1587454983.4094
CHLD 0 264.484375 1587454983.4177
CHLD 1 264.640625 1587454983.4177
CHLD 2 542.593750 1587454983.4177
MEM 143.925781 1587454983.5181
CHLD 0 264.484375 1587454983.5259
CHLD 1 264.640625 1587454983.5260
CHLD 2 542.851562 1587454983.5260
MEM 143.925781 1587454983.6264
CHLD 0 264.484375 1587454983.6350
CHLD 1 264.640625 1587454983.6350
CHLD 2 543.109375 1587454983.6351
MEM 143.925781 1587454983.7354
CHLD 0 264.484375 1587454983.7474
CHLD 1 264.640625 1587454983.7474
CHLD 2 543.367188 1587454983.7475
MEM 143.925781 1587454983.8478
CHLD 0 264.484375 1587454983.8584
CHLD 1 264.640625 1587454983.8584
CHLD 2 543.625000 1587454983.8585
MEM 143.925781 1587454983.9588
CHLD 0 264.484375 1587454983.9699
CHLD 1 264.640625 1587454983.9699
CHLD 2 543.882812 1587454983.9700
MEM 143.925781 1587454984.0703
CHLD 0 264.484375 1587454984.0799
CHLD 1 264.640625 1587454984.0799
CHLD 2 544.140625 1587454984.0799
MEM 143.925781 1587454984.1803
CHLD 0 264.484375 1587454984.1889
CHLD 1 198.847656 1587454984.1890
CHLD 2 544.398438 1587454984.1890
MEM 143.925781 1587454984.2894
CHLD 0 264.484375 1587454984.3031
CHLD 1 220.609375 1587454984.3031
CHLD 2 544.656250 1587454984.3032
MEM 143.925781 1587454984.4035
CHLD 0 264.484375 1587454984.4153
CHLD 1 220.695312 1587454984.4153
CHLD 2 544.914062 1587454984.4153
MEM 143.925781 1587454984.5157
CHLD 0 264.484375 1587454984.5242
CHLD 1 221.207031 1587454984.5243
CHLD 2 545.171875 1587454984.5243
MEM 143.925781 1587454984.6247
CHLD 0 264.484375 1587454984.6332
CHLD 1 221.207031 1587454984.6333
CHLD 2 545.429688 1587454984.6333
MEM 143.925781 1587454984.7337
CHLD 0 216.148438 1587454984.7433
CHLD 1 221.207031 1587454984.7434
CHLD 2 545.429688 1587454984.7434
MEM 143.925781 1587454984.8438
CHLD 0 198.933594 1587454984.8534
CHLD 1 221.207031 1587454984.8535
CHLD 2 545.687500 1587454984.8535
MEM 143.925781 1587454984.9538
CHLD 0 220.695312 1587454984.9637
CHLD 1 221.207031 1587454984.9638
CHLD 2 545.687500 1587454984.9638
MEM 143.925781 1587454985.0642
CHLD 0 220.695312 1587454985.0725
CHLD 1 221.207031 1587454985.0725
CHLD 2 545.945312 1587454985.0726
MEM 143.925781 1587454985.1729
CHLD 0 220.695312 1587454985.1813
CHLD 1 221.378906 1587454985.1814
CHLD 2 545.945312 1587454985.1814
MEM 143.933594 1587454985.2817
CHLD 0 221.378906 1587454985.2925
CHLD 1 546.203125 1587454985.2926
MEM 143.933594 1587454985.3929
CHLD 0 221.378906 1587454985.4011
CHLD 1 546.203125 1587454985.4011
MEM 143.933594 1587454985.5014
CHLD 0 221.378906 1587454985.5093
CHLD 1 546.460938 1587454985.5094
MEM 143.933594 1587454985.6097
CHLD 0 221.378906 1587454985.6184
CHLD 1 546.460938 1587454985.6185
MEM 143.933594 1587454985.7188
CHLD 0 254.910156 1587454985.7280
CHLD 1 546.976562 1587454985.7281
MEM 143.933594 1587454985.8284
CHLD 0 255.039062 1587454985.8368
CHLD 1 547.234375 1587454985.8369
MEM 143.933594 1587454985.9373
CHLD 0 253.750000 1587454985.9453
CHLD 1 547.750000 1587454985.9454
MEM 143.933594 1587454986.0457
CHLD 0 254.781250 1587454986.0539
CHLD 1 548.007812 1587454986.0540
MEM 143.933594 1587454986.1543
CHLD 0 249.113281 1587454986.1622
CHLD 1 548.523438 1587454986.1622
MEM 143.933594 1587454986.2625
CHLD 0 249.113281 1587454986.2702
CHLD 1 548.781250 1587454986.2703
MEM 143.933594 1587454986.3706
CHLD 0 249.113281 1587454986.3783
CHLD 1 549.296875 1587454986.3784
MEM 143.933594 1587454986.4787
CHLD 0 249.113281 1587454986.4865
CHLD 1 549.812500 1587454986.4865
MEM 143.933594 1587454986.5869
CHLD 0 249.113281 1587454986.5949
CHLD 1 550.070312 1587454986.5949
MEM 143.933594 1587454986.6952
CHLD 0 249.113281 1587454986.7037
CHLD 1 550.585938 1587454986.7038
MEM 143.933594 1587454986.8041
CHLD 0 249.113281 1587454986.8127
CHLD 1 550.843750 1587454986.8127
MEM 143.933594 1587454986.9130
CHLD 0 249.113281 1587454986.9221
CHLD 1 551.359375 1587454986.9222
MEM 143.933594 1587454987.0225
CHLD 0 249.113281 1587454987.0313
CHLD 1 551.617188 1587454987.0313
MEM 143.933594 1587454987.1316
CHLD 0 249.113281 1587454987.1396
CHLD 1 552.132812 1587454987.1396
MEM 143.933594 1587454987.2400
CHLD 0 249.113281 1587454987.2476
CHLD 1 552.390625 1587454987.2477
MEM 143.933594 1587454987.3480
CHLD 0 249.113281 1587454987.3569
CHLD 1 552.906250 1587454987.3569
MEM 143.933594 1587454987.4573
CHLD 0 249.113281 1587454987.4656
CHLD 1 553.164062 1587454987.4656
MEM 143.933594 1587454987.5659
CHLD 0 0.000000 1587454987.5736
CHLD 1 553.679688 1587454987.5737
MEM 143.933594 1587454987.6740
CHLD 0 0.000000 1587454987.6817
CHLD 1 553.937500 1587454987.6817
MEM 143.933594 1587454987.7821
CHLD 0 0.000000 1587454987.7899
CHLD 1 554.453125 1587454987.7900
MEM 143.933594 1587454987.8903
CHLD 0 0.000000 1587454987.8980
CHLD 1 554.710938 1587454987.8980
MEM 143.933594 1587454987.9983
CHLD 0 0.000000 1587454988.0061
CHLD 1 555.226562 1587454988.0061
MEM 143.933594 1587454988.1065
CHLD 0 0.000000 1587454988.1140
CHLD 1 555.484375 1587454988.1141
MEM 143.933594 1587454988.2144
CHLD 0 0.000000 1587454988.2221
CHLD 1 556.000000 1587454988.2221
MEM 143.933594 1587454988.3225
CHLD 0 0.000000 1587454988.3308
CHLD 1 556.515625 1587454988.3309
MEM 143.933594 1587454988.4311
CHLD 0 0.000000 1587454988.4387
CHLD 1 556.773438 1587454988.4388
MEM 143.933594 1587454988.5391
CHLD 0 0.000000 1587454988.5463
CHLD 1 557.289062 1587454988.5464
MEM 143.933594 1587454988.6468
CHLD 0 0.000000 1587454988.6539
CHLD 1 557.546875 1587454988.6540
MEM 143.933594 1587454988.7543
CHLD 0 0.000000 1587454988.7603
CHLD 1 558.062500 1587454988.7603
MEM 143.933594 1587454988.8606
CHLD 0 0.000000 1587454988.8665
CHLD 1 558.320312 1587454988.8665
MEM 143.933594 1587454988.9669
CHLD 0 0.000000 1587454988.9737
CHLD 1 558.835938 1587454988.9737
MEM 143.933594 1587454989.0741
CHLD 0 0.000000 1587454989.0805
CHLD 1 559.093750 1587454989.0805
MEM 143.933594 1587454989.1808
CHLD 0 0.000000 1587454989.1866
CHLD 1 559.609375 1587454989.1866
MEM 143.933594 1587454989.2870
CHLD 0 0.000000 1587454989.2928
CHLD 1 560.125000 1587454989.2929
MEM 143.933594 1587454989.3932
CHLD 0 0.000000 1587454989.3990
CHLD 1 560.382812 1587454989.3990
MEM 143.933594 1587454989.4993
CHLD 0 0.000000 1587454989.5052
CHLD 1 560.898438 1587454989.5053
MEM 143.933594 1587454989.6056
CHLD 0 0.000000 1587454989.6133
CHLD 1 561.156250 1587454989.6133
MEM 143.933594 1587454989.7137
CHLD 0 0.000000 1587454989.7215
CHLD 1 561.671875 1587454989.7216
MEM 143.933594 1587454989.8219
CHLD 0 0.000000 1587454989.8298
CHLD 1 561.929688 1587454989.8298
MEM 143.933594 1587454989.9302
CHLD 0 0.000000 1587454989.9387
CHLD 1 562.445312 1587454989.9387
MEM 143.933594 1587454990.0391
CHLD 0 0.000000 1587454990.0470
CHLD 1 562.703125 1587454990.0471
MEM 143.933594 1587454990.1474
CHLD 0 0.000000 1587454990.1552
CHLD 1 563.218750 1587454990.1552
MEM 143.933594 1587454990.2555
CHLD 0 0.000000 1587454990.2633
CHLD 1 563.734375 1587454990.2633
MEM 143.933594 1587454990.3636
CHLD 0 0.000000 1587454990.3725
CHLD 1 458.703125 1587454990.3725
MEM 143.933594 1587454990.4729
CHLD 0 0.000000 1587454990.4812
CHLD 1 458.703125 1587454990.4812
MEM 143.933594 1587454990.5816
CHLD 0 0.000000 1587454990.5900
CHLD 1 459.187500 1587454990.5901
MEM 143.933594 1587454990.6904
CHLD 0 0.000000 1587454990.6984
CHLD 1 459.445312 1587454990.6985
MEM 143.933594 1587454990.7988
CHLD 0 0.000000 1587454990.8070
CHLD 1 459.703125 1587454990.8070
MEM 143.933594 1587454990.9073
CHLD 0 0.000000 1587454990.9154
CHLD 1 459.960938 1587454990.9155
MEM 143.933594 1587454991.0158
CHLD 0 0.000000 1587454991.0239
